968
876 281
421 54
801 215
811 187
719 388
556 823
241 303
580 405
48 23
689 749
316 573
108 396
273 515
928 27
268 195
116 26
551 257
812 881
573 640
709 833
158 1
75 223
336 134
362 649
212 57
401 192
641 574
150 170
503 73
192 61
58 322
658 579
650 637
86 98
538 812
413 578
129 211
279 545
69 65
195 317
11 83
260 342
138 315
8 1
69 324
657 391
117 241
105 280
422 283
85 420
236 394
453 75
544 307
132 137
54 218
776 327
50 33
384 375
130 227
795 28
799 508
362 363
894 619
588 177
85 727
863 429
819 579
304 50
274 283
30 44
397 326
715 369
694 232
64 104
463 526
427 425
496 604
677 353
102 13
8 107
172 155
410 484
28 22
109 3
733 764
583 512
2 333
130 494
384 402
721 763
108 21
16 375
903 414
826 786
4 2
796 671
770 949
528 264
72 87
251 88
316 356
679 398
91 179
435 14
413 536
643 73
16 301
609 355
192 235
312 341
520 276
355 69
382 285
219 892
926 269
869 952
234 11
54 68
242 214
214 135
4 25
185 486
9 752
552 954
742 232
492 905
688 821
88 808
81 17
712 767
10 328
830 125
351 255
55 33
656 235
329 109
308 306
343 240
292 425
344 340
340 523
672 696
866 809
619 880
754 953
67 117
19 220
126 327
619 237
29 373
690 927
33 386
265 81
820 313
461 383
3 259
761 911
378 251
665 588
80 747
111 99
229 45
263 533
202 276
302 417
90 83
208 825
699 59
300 272
65 139
40 514
512 301
238 135
557 624
180 146
379 708
235 929
213 430
902 707
350 256
408 270
790 93
56 145
450 345
670 313
20 10
569 16
122 71
54 59
338 684
672 650
138 634
295 208
205 24
112 119
155 45
299 272
556 365
950 178
184 493
688 813
747 885
288 46
646 117
344 534
59 208
267 150
195 266
685 683
212 507
105 202
678 464
369 59
160 629
414 846
689 126
24 182
586 388
778 127
534 740
445 101
584 573
150 18
702 117
472 346
63 5
398 224
20 101
364 786
827 810
430 824
687 467
887 853
546 940
744 323
60 361
290 128
125 93
9 142
818 376
26 22
757 461
4 210
347 611
959 475
863 961
207 490
7 18
107 309
498 158
872 131
91 10
129 117
73 24
759 291
135 86
241 479
51 230
241 728
171 289
587 28
669 625
912 125
307 352
64 43
449 831
897 689
419 146
499 290
187 858
567 138
327 432
128 814
12 270
228 736
56 79
91 173
620 93
49 377
32 277
158 175
219 202
798 5
505 541
680 968
213 182
66 76
462 707
91 103
291 277
277 626
194 28
816 933
7 552
122 153
203 663
163 196
320 271
738 568
632 891
463 224
682 803
249 23
540 306
5 38
606 97
748 405
623 588
156 18
779 154
963 827
173 393
95 79
260 325
40 78
207 37
135 163
423 920
666 615
605 347
15 1
841 192
314 572
733 127
98 285
426 308
1 11
493 874
385 206
174 652
743 224
300 307
279 209
228 428
326 272
664 923
485 792
555 166
625 541
164 201
614 118
118 7
33 228
249 365
383 70
90 632
5 12
582 17
504 351
312 239
766 441
186 73
354 169
367 834
768 915
194 537
311 262
359 260
756 868
180 875
255 53
149 109
83 760
463 601
782 778
616 919
133 95
185 414
754 481
900 521
19 34
1 72
159 150
14 774
732 295
1 306
352 930
11 275
635 279
325 362
407 18
398 789
302 492
585 28
577 273
547 472
780 942
436 256
229 321
540 938
755 544
491 442
413 434
28 42
500 129
576 163
438 564
784 29
722 650
13 14
787 482
92 424
245 105
964 485
120 91
57 67
15 293
310 862
948 126
709 794
469 156
92 199
1 9
77 115
254 565
516 485
916 543
843 616
372 162
460 132
489 22
731 401
271 81
57 34
164 381
457 109
337 215
101 559
387 185
440 74
360 845
256 319
627 275
573 793
712 281
297 187
695 407
503 566
222 93
649 692
286 682
503 939
418 65
255 621
110 374
581 155
649 966
771 475
773 208
429 467
486 842
254 72
278 797
353 848
101 688
339 50
45 221
238 844
947 557
371 176
176 131
875 890
909 646
168 151
72 88
632 750
704 421
673 176
346 94
23 80
3 510
768 38
500 615
107 151
103 376
664 153
157 509
303 899
717 327
265 294
13 274
517 110
55 146
157 188
165 908
432 753
32 30
335 446
89 15
36 11
243 37
106 272
94 925
187 470
43 31
332 98
190 4
488 69
161 118
79 93
13 21
227 335
110 25
323 370
441 355
783 805
761 517
232 804
521 242
443 466
639 305
82 46
447 144
854 616
196 323
7 867
320 368
205 788
357 293
542 434
745 308
5 454
113 100
13 77
170 901
648 118
558 770
122 134
33 154
665 958
458 159
957 352
380 63
314 275
187 345
613 399
186 651
69 114
191 151
945 441
387 390
127 2
387 729
28 58
201 244
26 197
136 951
305 557
244 505
63 86
272 855
215 273
17 178
375 873
562 227
106 389
300 366
663 835
157 138
132 25
629 659
120 358
800 11
690 94
242 532
602 466
263 785
237 19
648 893
31 462
65 121
275 693
54 884
318 178
27 17
684 714
554 183
416 502
35 30
513 478
642 298
783 536
271 539
457 691
13 136
14 41
85 35
701 741
416 129
151 195
287 16
654 464
40 65
404 46
548 159
745 851
765 762
241 405
217 465
109 737
340 229
220 506
187 236
680 724
9 10
592 352
97 231
55 388
716 791
31 189
700 258
525 183
416 442
433 85
758 435
2 53
13 60
238 483
77 924
575 469
9 52
623 762
206 34
417 720
208 935
263 12
456 372
38 40
619 718
508 400
597 259
302 411
405 563
215 40
236 531
720 721
561 266
697 61
10 33
226 208
154 906
675 260
501 264
497 195
655 366
662 324
349 698
593 581
33 571
772 274
410 62
476 44
92 99
353 151
2 166
857 42
189 413
44 284
482 129
860 546
703 907
628 294
114 185
830 895
41 130
233 431
54 66
455 412
45 600
335 589
367 293
527 222
161 444
705 439
644 84
5 305
22 18
187 82
252 215
612 79
72 209
756 378
98 338
937 879
173 558
117 177
809 284
95 590
739 474
443 251
592 668
849 295
566 671
829 176
140 135
158 459
5 3
955 400
524 725
870 248
24 37
599 209
97 88
437 367
289 298
220 331
246 143
306 549
292 150
291 487
187 914
4 253
618 61
1 898
106 98
47 46
302 186
454 478
225 222
4 6
886 453
360 330
349 293
932 687
428 967
16 45
683 403
253 464
131 18
75 73
190 495
936 815
184 153
71 15
133 879
68 100
51 6
412 323
198 594
46 781
364 127
218 260
883 447
357 622
636 667
171 15
574 390
174 93
233 185
213 726
204 256
834 921
425 481
852 378
204 169
240 269
214 452
252 392
962 560
918 48
716 281
84 181
23 70
120 124
106 451
119 603
543 123
105 50
889 416
406 123
92 49
581 746
166 183
169 31
29 30
570 352
23 10
9 31
280 960
838 702
706 551
267 676
767 836
169 595
30 160
208 839
369 864
591 37
294 334
164 155
131 193
358 379
596 94
438 200
415 215
736 807
247 409
46 8
262 168
524 211
877 227
473 273
395 224
57 680
282 816
347 262
49 931
222 232
299 617
433 910
766 888
8 49
124 165
871 41
173 313
133 198
347 878
224 7
310 304
847 547
853 744
290 423
116 217
934 285
216 182
941 643
399 102
97 686
148 49
296 186
485 399
553 224
856 196
540 817
546 310
144 8
261 93
105 703
123 53
505 913
519 78
391 165
710 234
264 164
74 20
511 616
223 850
445 815
869 376
112 474
215 568
80 126
859 500
258 190
330 208
922 818
106 348
861 698
647 24
751 498
316 92
5 54
3 29
248 123
530 956
361 701
3 1
598 214
610 469
3 16
152 138
182 240
192 282
633 495
579 175
171 239
3 13
75 403
511 326
6 143
84 62
213 775
23 522
653 153
429 369
167 121
734 190
865 811
484 518
439 121
681 211
1 2
70 723
95 96
7 2
323 674
660 502
203 66
441 480
353 530
5 19
281 239
288 607
90 535
734 777
88 735
13 62
525 965
477 331
112 72
67 141
555 709
560 242
17 4
93 94
599 638
471 355
144 162
419 713
475 334
6 24
257 134
828 548
28 138
128 26
508 529
446 538
278 97
14 631
39 23
51 448
608 194
882 176
137 200
286 730
280 917
8 61
400 254
174 711
399 645
496 82
146 247
520 822
335 802
636 34
152 449
443 468
832 473
904 702
569 840
65 250
